AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
4214.358974,4227.435897,4221.794872,4216.410256,4142.820513,4203.333333,4173.461538,4207.564103,4217.692308,4147.435897,4152.435897,4429.74359,4291.794872,4253.461538
4207.948718,4217.051282,4212.692308,4208.717949,4147.051282,4199.74359,4162.692307,4193.205128,4210.897436,4145,4151.923077,4415.897436,4301.538462,4247.435897
4203.846154,4216.025641,4203.974359,4201.923077,4144.230769,4197.820513,4157.820513,4183.461538,4203.076923,4146.025641,4144.74359,4402.820513,4298.717949,4240.769231
4200.897436,4212.948718,4199.230769,4197.051282,4140.769231,4196.666667,4159.871795,4183.974359,4200.897436,4148.974359,4140.25641,4393.974359,4280.769231,4233.717949
4199.487179,4206.794872,4198.717949,4196.410256,4148.333333,4198.076923,4165.384615,4190.769231,4201.666667,4146.794872,4140.25641,4386.410257,4268.333333,4230.128205
4198.076923,4206.923077,4193.333333,4195.25641,4145.25641,4198.589743,4168.717949,4193.333333,4199.871795,4144.358974,4139.102564,4382.307693,4261.153846,4230.25641
4199.230769,4209.358974,4186.538461,4191.282051,4146.666666,4195.641026,4170.384615,4191.666667,4201.538461,4147.820513,4136.794872,4383.205128,4257.692308,4232.435897
4196.025641,4205.769231,4185.25641,4188.846154,4149.358974,4188.461538,4166.025641,4190.51282,4202.051282,4149.615384,4135.51282,4380.128205,4246.538462,4227.307692
4190.51282,4200.51282,4183.974359,4185.897436,4144.102564,4183.846154,4155.769231,4188.461538,4198.717949,4146.794872,4136.282051,4372.692308,4222.692308,4223.461538
4191.153846,4203.717949,4184.230769,4188.205128,4145.128205,4183.717949,4152.051282,4184.358974,4200.128205,4147.307692,4137.307692,4374.358975,4212.307692,4229.487179
4190,4207.820513,4182.948718,4191.153846,4141.538461,4183.974359,4154.74359,4177.435897,4201.538461,4149.615384,4139.102564,4375.769231,4215.128205,4228.076923
4183.846154,4205.897436,4176.538461,4190.51282,4142.948718,4184.871795,4153.333333,4167.692307,4197.051282,4147.051282,4139.615384,4363.589744,4208.205128,4221.794872
4182.307692,4203.205128,4169.74359,4192.179487,4145.384615,4185.128205,4153.333333,4164.230769,4195.128205,4145.384615,4138.974359,4353.205128,4199.487179,4220.128205
4185,4202.307692,4169.871795,4194.871795,4140.128205,4186.025641,4161.282051,4176.410256,4200.641026,4148.846154,4144.615384,4356.923077,4202.051282,4221.923077
4187.051282,4204.230769,4178.974359,4190.384615,4143.333333,4185.641026,4169.615384,4189.615384,4203.846154,4151.153846,4154.358974,4361.538462,4203.717949,4226.025641
4191.538461,4205.51282,4183.717949,4190,4143.461538,4183.589743,4171.282051,4183.076923,4199.102564,4147.051282,4155.128205,4356.794872,4195.25641,4225.51282
4198.205128,4204.230769,4183.974359,4197.692308,4142.948718,4181.794872,4171.410256,4173.589743,4191.025641,4145.769231,4153.717949,4355.25641,4188.333333,4222.692308
4196.923077,4201.282051,4182.179487,4194.358974,4145.769231,4181.410256,4172.051282,4179.74359,4185.897436,4150.128205,4157.564102,4356.025641,4186.282051,4225
4188.589743,4198.461538,4175.769231,4182.820513,4141.923077,4181.538461,4171.282051,4183.076923,4182.564102,4148.974359,4155.128205,4347.179487,4187.307692,4226.025641
4187.820513,4200.897436,4176.538461,4184.871795,4143.846154,4183.461538,4175.769231,4182.948718,4186.923077,4145.897436,4153.461538,4343.974359,4192.820513,4226.282051
